7,1,391,130
7,0,206,156
7,1,164,130
7,0,168,156
7,1,143,130
7,0,122,156
7,0,98,157
7,0,89,26
7,1,318,131
7,1,39,26
7,0,240,131
7,1,120,130
7,1,294,131
7,0,150,130
7,0,32,130
7,1,73,26
7,0,210,130
7,1,211,131
7,1,54,26
7,0,362,156
7,1,149,131
7,0,348,130
7,1,313,130
7,0,365,130
7,1,392,156
7,0,276,130
7,1,305,130
7,1,189,130
7,1,31,26
7,1,54,52
7,1,77,26
7,1,114,130
7,0,128,104
7,0,329,130
7,0,11,104
7,1,306,130
7,1,40,104
7,0,373,130
7,0,138,131
7,1,323,131
7,1,368,104
